context_id	word	gold_sense_id	predict_sense_id	positions	context
1	граф	2		0-3,132-137	Граф -- это структура данных. Кроме этого, в дискретной математике теория графов является
2	альбом	2		203-209	Марина откинула одеяло опустила ноги в огромные тигровые тапочки и натянула на себя махровый халат украденный в позапрошлом году в одной из лучших гостиниц города . Рядом с кроватью были стопкой сложены альбомы по искусству два месяца назад когда у нее заканчивался токсикоз Марина всерьез собиралась стать искусствоведом . На книгах стоял стакан с молоком
3	альбом	2		275-280	Романтизм в России дает возможность говорить не столько о русском романтизме сколько о том как его видит советское искусствознание и незаменимым источником является каталог . Пухлые каталоги для сегодняшних выставок норма но тут перед нами не сборник содержательных статей а альбом . Имелось в виду очевидно воспроизвести альбом XIX века
4	альбом	1		74-80	Твой папа Лиза знал меня еще маленькой девочкой . Пойди Лиза достань твои альбомы . Марья Петровна и Акантов остались вдвоем
5	альбом	2		177-182	В парижской квартире Сен-Лорана рядом с Матиссом и Пикассо среди античных бюстов и негритянских скульптур на инкрустированном музейном столике лежал несколько лет и драгоценный альбом Сергея Параджанова . Недавно во время пожара в квартире огонь уничтожил альбом но к счастью друзья в Тбилиси в свое время успели сфотографировать все работы . Встреча-невстреча с Эйзенштейном
6	альбом	2		174-180	К тому ж всю обработку лебедевских снимков вела фотолаборатория ЦК а сам Лебедев в служебное время только рассматривал сортировал и раскладывал негативы и карточки . В одном альбоме на фоне тех же книжных полок где он только-что отснял меня улыбались Шолохов и Михалков . Были места и для меня
7	альбом	2		45-51	Обедали вчетвером . Рассматривали фотографич альбомы в моем новом кабинете . 17 го ноября
8	альбом	2		72-77	Уманский ожил и даже встал но только он взял тяжелый роскошный немецкий альбом в руки как тут же сам опять рухнул на стул . Но сообразил вновь встал оставив теперь альбом лежать на столе . Речь подсказали ему
9	альбом	2		31-36	Как домой . Поэтому Грузинский альбом уже не храм а его развалины . Потому каждая грузинская глава чередуется с русской
10	альбом	2		128-133	м более что еще не закончила Кахрие-Джами . Но вот что важно мой англичанин не только нашелся но предложил мне издать в Лондоне альбом моих зарисовок . Это конечно журавль в небе но ведь без надежды не проживешь
